Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Dunkin brands group inc,DNKN1,"",9490.0,504000.0,0.0064,0.0101,81,-7363.0,-43.689551,reduction,0.0115615,Q4 2018,CONSUMER DISCRETIONARY,"","",77.62
Flowers foods,FLO,"",23981.0,492000.0,0.0062,,82,23981.0,,new,0.0113352,Q1 2020,CONSUMER STAPLES,"","",20.52
General mills co.,GIS,"",8827.0,466000.0,0.0059,,83,8827.0,,new,0.0014563,Q1 2020,CONSUMER STAPLES,"","",52.77
Wendys co. (the),WEN,"",30931.0,460000.0,0.0058,,84,30931.0,,new,0.0138961,Q1 2019,CONSUMER DISCRETIONARY,"","",14.88
Best buy co.  inc.,BBY,"",7872.0,449000.0,0.0057,,85,7872.0,,new,0.0030634,Q1 2018,CONSUMER DISCRETIONARY,"","",57.0
Dominos pizza inc,DPZ,"",1378.0,447000.0,0.0057,,86,1378.0,,new,0.0035227,Q1 2020,CONSUMER DISCRETIONARY,"","",324.07
Yum! brands  inc. (tricon global restaurants),YUM,"",6489.0,445000.0,0.0056,,87,6489.0,,new,0.0021565,Q1 2020,CONSUMER DISCRETIONARY,"","",68.53
Reynolds consumer products inc.,REYN,"",14862.0,434000.0,0.0055,,88,14862.0,,new,0.0070873,Q1 2020,CONSUMER STAPLES,"","",29.17
Ishares msci mexico etf-ishares msci mexico etf,EWW,"",14977.0,425000.0,0.0054,,89,14977.0,,new,No Data,Q1 2020,FINANCE,"","",28.35
Tyson foods  inc.,TSN,"",7201.0,417000.0,0.0053,0.0361,90,-42674.0,-85.561905,reduction,0.0019727,Q2 2019,CONSUMER STAPLES,"","",87.82
United airlines holdings inc,UAL,"",12909.0,407000.0,0.0052,0.0055,91,5085.0,64.992331,addition,0.0052209,Q4 2019,TRANSPORTS,"","",65.8183
Designer brands inc,DBI,"",81366.0,405000.0,0.0051,,92,81366.0,,new,0.1134044,Q1 2020,CONSUMER DISCRETIONARY,"","",4.98
Tapestry inc,TPR,"",31216.0,404000.0,0.0051,0.0103,93,-16682.0,-34.828177,reduction,0.0113090,Q2 2019,CONSUMER DISCRETIONARY,"","",26.97
Williams-sonoma inc.,WSM,"",9443.0,402000.0,0.0051,0.0127,94,-12253.0,-56.475848,reduction,0.0122297,Q1 2018,CONSUMER DISCRETIONARY,"","",65.32
Wix.com ltd,WIX,"",3977.0,401000.0,0.0051,0.0164,95,-12862.0,-76.382208,reduction,0.0076624,Q2 2019,COMMUNICATIONS,"","",142.1
Monster beverage corp.,MNST,"",7036.0,396000.0,0.005,0.0372,96,-66450.0,-90.425387,reduction,0.0013363,Q2 2019,CONSUMER STAPLES,"","",62.84
Guess inc,GES,"",55698.0,377000.0,0.0048,,97,55698.0,,new,0.0843027,Q1 2020,CONSUMER DISCRETIONARY,"","",6.77
Shoe carnival inc,SCVL,"",34606.0,359000.0,0.0045,,98,34606.0,,new,0.1235129,Q2 2018,CONSUMER DISCRETIONARY,"","",20.77
Colgate-palmolive co.,CL,"",5350.0,355000.0,0.0045,0.0158,99,-23496.0,-81.453234,reduction,0.0006239,Q4 2019,CONSUMER STAPLES,"","",68.84
Marriott international inc/md,MAR,"",4705.0,352000.0,0.0045,0.0062,100,-426.0,-8.302475,reduction,0.0014512,Q4 2019,CONSUMER DISCRETIONARY,"","",151.43
Pvh corp. (phillips jones - phillips van heusen corp.),PVH,"",9021.0,340000.0,0.0043,,101,9021.0,,new,0.0123643,Q1 2020,CONSUMER DISCRETIONARY,"","",37.64
Ingles markets  inc class a,IMKTA,"",9234.0,334000.0,0.0042,,102,9234.0,,new,0.0455780,Q3 2019,CONSUMER STAPLES,"","",36.16
Siteone landscape supply inc,SITE,"",4423.0,326000.0,0.0041,,103,4423.0,,new,0.0105668,Q1 2020,INDUSTRIALS,"","",73.62
Wayfair inc class a,W,"",6084.0,325000.0,0.0041,0.0872,104,-115232.0,-94.984998,reduction,0.0083558,Q2 2019,CONSUMER DISCRETIONARY,"","",105.28
Frontier communications corp. (citizens utilities - citizens communications),FTRCQ1,"",848516.0,322000.0,0.0041,,105,848516.0,,new,0.8082033,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,"","",0.38
Cal-maine foods inc,CALM,"",7279.0,320000.0,0.0041,,106,7279.0,,new,0.0149240,Q3 2019,CONSUMER STAPLES,"","",43.98
Weis markets inc,WMK,"",7178.0,299000.0,0.0038,0.0035,107,-3595.0,-33.370463,reduction,0.0266856,Q4 2018,CONSUMER STAPLES,"","",38.92
Conagra brands inc,CAG,"",10013.0,294000.0,0.0037,0.0054,108,-9915.0,-49.754115,reduction,0.0020557,Q2 2019,CONSUMER STAPLES,"","",34.24
Energizer holdings inc,ENR,"",9590.0,290000.0,0.0037,,109,9590.0,,new,0.0138119,Q3 2019,CONSUMER STAPLES,"","",30.25
Keurig dr pepper inc,KDP,"",10898.0,264000.0,0.0033,0.019,110,-71662.0,-86.799903,reduction,0.0007745,Q2 2019,CONSUMER STAPLES,"","",28.95
Petiq inc,PETQ,"",11219.0,261000.0,0.0033,,111,11219.0,,new,0.0395697,Q1 2020,HEALTH CARE,"","",23.23
El pollo loco holdings inc,LOCO,"",30599.0,259000.0,0.0033,0.0102,112,-54280.0,-63.949858,reduction,0.0871677,Q4 2019,CONSUMER DISCRETIONARY,"","",15.14
Avis budget group inc. (cuc international - cendant),CAR,"",18610.0,259000.0,0.0033,0.0163,113,-44850.0,-70.674441,reduction,0.0267606,Q4 2019,TRANSPORTS,"","",32.24
G-iii apparel group ltd,GIII,"",33564.0,258000.0,0.0033,0.0106,114,-6199.0,-15.58987,reduction,0.0699114,Q3 2019,CONSUMER DISCRETIONARY,"","",25.77
Caleres inc. (brown shoe co.),CAL,"",48472.0,252000.0,0.0032,0.0103,115,-6252.0,-11.424603,reduction,0.1204786,Q4 2018,CONSUMER DISCRETIONARY,"","",21.17
New york times co. class a,NYT,"",7985.0,245000.0,0.0031,,116,7985.0,,new,0.0048145,Q2 2019,COMMUNICATIONS,"","",30.71
Hormel foods corp.,HRL,"",5151.0,240000.0,0.003,0.0105,117,-24025.0,-82.345078,reduction,0.0009578,Q4 2019,CONSUMER STAPLES,"","",45.11
Dish network corp  class a,DISH,"",11993.0,240000.0,0.003,0.0061,118,-9789.0,-44.940777,reduction,0.0022929,Q4 2019,COMMUNICATIONS,"","",35.47
American airlines group inc,AAL,"",19415.0,237000.0,0.003,,119,19415.0,,new,0.0045569,Q1 2020,TRANSPORTS,"","",12.19
Turning point brands inc,TPB,"",10904.0,230000.0,0.0029,0.0143,120,-52097.0,-82.692338,reduction,0.0556640,Q2 2019,CONSUMER STAPLES,"","",32.31
Sprouts farmers market inc,SFM,"",12324.0,229000.0,0.0029,0.0057,121,-24911.0,-66.902108,reduction,0.0104846,Q3 2019,CONSUMER DISCRETIONARY,"","",19.34
Skechers usa  inc. class a,SKX,"",9622.0,228000.0,0.0029,,122,9622.0,,new,0.0061004,Q1 2020,CONSUMER DISCRETIONARY,"","",23.74
Central garden & pet co. class a,CENTA,"",8746.0,224000.0,0.0028,,123,8746.0,,new,0.0157774,Q2 2019,CONSUMER STAPLES,"","",25.57
