Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2018-04-19,244.0864602551149,244.29466559071068,242.3394359969553,243.3985290527344,77655900,0.0,0.0,0.0
2018-04-20,243.3261317800886,243.5524311495224,240.42948880156152,241.33468627929688,99953100,0.0,0.0,0.0
2018-04-23,241.92301969297856,242.49329836581472,240.19408967472643,241.2984313964844,65558000,0.0,0.0,0.0
2018-04-24,242.34851588207644,242.57481523771204,236.50998145690463,238.048828125,112885500,0.0,0.0,0.0
2018-04-25,237.98544854824897,239.0897904663739,236.12074413928207,238.6371917724609,103840900,0.0,0.0,0.0
2018-04-26,239.68722028849672,241.91399809269436,239.23462160170027,241.0631103515625,67731900,0.0,0.0,0.0
2018-04-27,241.68767194473315,241.99543570269012,240.3298760349313,241.2893829345703,57053600,0.0,0.0,0.0
2018-04-30,241.9230543269408,242.4933330814187,239.3613303384816,239.4337615966797,82182300,0.0,0.0,0.0
2018-05-01,238.85439332611205,239.9677958855557,237.2612373303737,239.8591766357422,74203400,0.0,0.0,0.0
2018-05-02,239.66006098869823,240.49282708714264,237.84966627538145,238.2479553222656,86368900,0.0,0.0,0.0
2018-05-03,237.39707311196307,238.3927681278732,234.4913696399976,237.72293090820312,136311500,0.0,0.0,0.0
2018-05-04,236.7271949159,241.4976025068838,236.39227632495516,240.8005828857422,91222100,0.0,0.0,0.0
2018-05-07,241.5881253368183,242.61097510111253,240.88204490968783,241.6152801513672,55304900,0.0,0.0,0.0
2018-05-08,241.23508512325307,241.98638674205853,240.01306321969395,241.6152801513672,67499200,0.0,0.0,0.0
2018-05-09,242.30323295769716,244.2856174700156,241.76916980760865,243.95069885253903,59666100,0.0,0.0,0.0
2018-05-10,244.7110712040784,246.56674252004197,244.60245193181396,246.23179626464844,72063900,0.0,0.0,0.0
2018-05-11,246.35855056416156,247.2546872335161,245.83352055374988,246.98313903808597,59871500,0.0,0.0,0.0
2018-05-14,247.4267032059888,248.09654057537875,246.53959963277785,247.1008453369141,54790600,0.0,0.0,0.0
2018-05-15,245.8425093550416,245.86060335462517,244.4304039035754,245.3989715576172,87036100,0.0,0.0,0.0
2018-05-16,245.4351524675932,246.90156733483147,245.40797003542227,246.43084716796875,53942600,0.0,0.0,0.0
2018-05-17,246.15940786609,247.32712036410172,245.42620010847307,246.2227783203125,56536400,0.0,0.0,0.0
2018-05-18,245.86973851843624,246.240872805332,245.24515003859167,245.6072235107422,64368000,0.0,0.0,0.0
2018-05-21,247.12793859881648,248.0059811376834,246.7296495528708,247.45379638671875,58025900,0.0,0.0,0.0
2018-05-22,247.9879065848781,248.25042160236268,246.4309657345732,246.7658843994141,52966400,0.0,0.0,0.0
2018-05-23,245.46240617046527,247.47194562671632,245.2994496339002,247.44476318359372,64694200,0.0,0.0,0.0
2018-05-24,247.03746756528847,247.31807659683287,245.10939235701147,246.93788146972656,76043800,0.0,0.0,0.0
2018-05-25,246.3494873046875,246.9921697771175,245.83351811405572,246.3494873046875,56374800,0.0,0.0,0.0
2018-05-29,244.68393259584244,245.46241680603356,242.37569003400475,243.51622009277344,115908600,0.0,0.0,0.0
2018-05-30,244.8559308785382,247.21848316259064,244.7835272311819,246.7658843994141,69678400,0.0,0.0,0.0
2018-05-31,246.3494466787345,246.65721045455885,244.6386380977654,245.2541656494141,93519900,0.0,0.0,0.0
2018-06-01,246.5848003055593,247.96975107237705,246.5123690517327,247.6619873046875,71258400,0.0,0.0,0.0
2018-06-04,248.5037960422676,249.10122953283428,248.25940273339245,248.83871459960935,45385200,0.0,0.0,0.0
2018-06-05,248.97448369629163,249.40898830561216,248.18696653674505,249.01976013183597,51135000,0.0,0.0,0.0
2018-06-06,249.64436075501857,251.21033433948008,249.0107116215092,251.10171508789065,62732200,0.0,0.0,0.0
2018-06-07,251.59964547587336,251.89834848341985,250.14226319813997,251.0746154785156,72969400,0.0,0.0,0.0
2018-06-08,250.60393319716343,251.87120417125124,250.43194346234776,251.81689453125,72139700,0.0,0.0,0.0
2018-06-11,252.04319041388533,252.8850174466759,251.92551032070136,252.1518096923828,58892500,0.0,0.0,0.0
