Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-12-09,10.728058940003502,10.889904022216797,10.704937997716655,10.889904022216797,386820,0.0,0.0
1998-12-10,10.820538142044576,10.843658319292857,10.658692359924316,10.658692359924316,571542,0.0,0.0
1998-12-11,10.612452791681047,10.797419548034668,10.566211670265554,10.797419548034668,442387,0.0,0.0
1998-12-14,10.889905595035929,10.982389377540663,10.519972735709263,10.54309368133545,592996,0.0,0.0
1998-12-15,10.543095385681347,10.543095385681347,10.265645507110785,10.358128547668455,1013929,0.0,0.0
1998-12-16,10.335005630523606,10.450610355331534,10.288764497497835,10.381247520446776,473710,0.0,0.0
1998-12-17,10.335004618804753,10.450609332295851,10.31188443300386,10.404367446899414,677740,0.0,0.0
1998-12-18,10.3581279947791,10.381248942908767,10.265644959157926,10.288765907287598,1611430,0.0,0.0
1998-12-21,10.265641169165978,10.381245110236778,9.895708406359974,9.98819065093994,1093524,0.0,0.0
1998-12-22,9.988192947831308,10.58933448791504,9.941951814907682,10.58933448791504,757765,0.0,0.0
1998-12-23,10.589337132913188,10.913029685614696,10.54309598843948,10.843666076660156,732663,0.0,0.0
1998-12-24,10.74639129638672,10.839032345756966,10.653749488825753,10.74639129638672,243721,0.023305,0.0
1998-12-28,10.653746628796098,10.792708544642093,10.607425737450594,10.700067520141602,789517,0.0,0.0
1998-12-29,10.676911475799017,11.024316787719728,10.653751020578856,11.024316787719728,1065419,0.0,0.0
1998-12-30,10.93166972330422,11.209592758787808,10.90850852260924,11.116950988769531,560815,0.0,0.0
1998-12-31,11.0474748963877,11.18643760772915,10.74639129638672,10.74639129638672,1087946,0.0,0.0
1999-01-04,10.74638646165582,10.931669235229492,10.74638646165582,10.931669235229492,960508,0.0,0.0
1999-01-05,10.9085133571042,11.464361190795898,10.86219245156631,11.464361190795898,1142011,0.0,0.0
1999-01-06,11.487518583610878,12.043367027430827,11.487518583610878,11.881244659423828,2421114,0.0,0.0
1999-01-07,11.580158405916492,12.089685903477385,11.533838275731297,12.06652545928955,1782206,0.0,0.0
1999-01-08,12.159172003554936,12.761340035139936,12.089691397606623,12.599218368530272,1881539,0.0,0.0
1999-01-11,12.599218368530272,12.923462459940408,12.483416853155882,12.599218368530272,2211077,0.0,0.0
1999-01-12,12.59921728497702,12.59921728497702,12.321293368704064,12.390774726867676,1084084,0.0,0.0
1999-01-13,12.136010960974858,12.367613966035544,12.04336991058873,12.274972915649414,1029376,0.0,0.0
1999-01-14,12.182329295837771,12.182329295837771,11.695962905883787,11.695962905883787,726656,0.0,0.0
1999-01-15,11.881243928419456,12.13600730895996,11.765441702546047,12.13600730895996,1325874,0.0,0.0
1999-01-19,12.043370886903917,12.043370886903917,11.626484989084725,11.834927558898926,1319009,0.0,0.0
1999-01-20,11.858090007886354,12.043372913040972,11.765448176213583,11.997051239013672,1194359,0.0,0.0
1999-01-21,12.136011944800142,12.18233209465286,11.765446196833665,11.834927558898926,897003,0.0,0.0
1999-01-22,11.811762075491442,12.043366531959594,11.811762075491442,11.858083724975586,590851,0.0,0.0
1999-01-25,11.811761929581314,11.99704473427653,11.811761929581314,11.950724601745604,1213668,0.0,0.0
1999-01-26,11.927567311010414,12.04336956844159,11.765444908797472,12.020208358764648,786084,0.0,0.0
1999-01-27,11.927566396048514,12.182329826472822,11.88124625481996,12.112849235534668,628610,0.0,0.0
1999-01-28,12.066529604542216,12.34445351389133,11.858087051625745,12.274972915649414,1620012,0.0,0.0
1999-01-29,12.34444894957238,13.062418909622371,12.321288505991662,13.016098022460938,3010678,0.0,0.0
1999-02-01,12.923462279254691,12.946623491834725,12.413935315454852,12.73818016052246,1779846,0.0,0.0
1999-02-02,12.576049467977874,12.738171783900036,12.321286153610322,12.506568908691406,1121629,0.0,0.0
1999-02-03,12.413933485636298,13.31718728272228,12.413933485636298,13.2245454788208,2009836,0.0,0.0
1999-02-04,13.155065779079203,13.61827179733768,13.155065779079203,13.47930908203125,2747863,0.0,0.0
1999-02-05,13.52562781732678,13.710909891630576,13.294024845351723,13.548789024353027,2351173,0.0,0.0
1999-02-08,13.710908889770508,14.011993944442697,13.548788034339175,13.710908889770508,2491484,0.0,0.0
1999-02-09,13.710910167942515,13.710910167942515,13.479307191300036,13.525628089904783,1213024,0.0,0.0
1999-02-10,13.525628089904783,13.641429578226026,13.363505702978795,13.525628089904783,1063059,0.0,0.0
1999-02-11,13.432989090168656,13.7340726852417,13.386668187146324,13.7340726852417,782652,0.0,0.0
1999-02-12,13.64143017537238,13.64143017537238,13.155064509685282,13.270864486694336,686751,0.0,0.0
1999-02-16,13.317186635977391,13.710910492484166,13.317186635977391,13.641429901123049,1089019,0.0,0.0
1999-02-17,13.571949309761928,13.849873191587706,13.571949309761928,13.641429901123049,1355052,0.0,0.0
1999-02-18,13.710916603774622,14.637330461579603,13.710916603774622,14.498369216918944,1971218,0.0,0.0
1999-02-19,14.475201682186045,14.706806182861328,14.382559881915933,14.706806182861328,2459303,0.0,0.0
1999-02-22,14.706807401013624,14.799447692575734,14.591004382893455,14.637325286865234,990115,0.0,0.0
1999-02-23,14.428884175027154,14.428884175027154,14.035158747243925,14.17411994934082,2509506,0.0,0.0
1999-02-24,14.127795421968576,14.174116316255152,13.61826861757848,13.710908889770508,2176536,0.0,0.0
1999-02-25,13.5256325750367,13.641434101758003,13.270868306420772,13.456151962280272,1218817,0.0,0.0
1999-02-26,13.525626485069862,13.54878768981476,13.247702642798693,13.340344429016112,924464,0.0,0.0
1999-03-01,13.201382345659344,13.247703240859185,13.108742071640815,13.17822265625,1280820,0.0,0.0
1999-03-02,13.22454128490595,13.340342744867852,13.039257735862186,13.062418937683104,722151,0.0,0.0
1999-03-03,12.969775337811612,13.155058860778809,12.853973894147456,13.155058860778809,971020,0.0,0.0
1999-03-04,13.108742713928224,13.247703889955254,12.992941228445286,13.108742713928224,1289402,0.0,0.0
1999-03-05,13.247703947680469,13.595109922024283,13.178223359364198,13.548789024353027,801317,0.0,0.0
