Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Mastercard inc,MA,"",0.0,0.0,,0.0116,"",-3793.0,-100.0,soldall,0.0000000,Q4 2018,FINANCE,"","",221.45
Adobe systems  inc.,ADBE,"",0.0,0.0,,0.008,"",-1981.0,-100.0,soldall,0.0000000,Q3 2017,INFORMATION TECHNOLOGY,"","",247.11
Republic first bancorp. inc.,FRBK,"",0.0,0.0,,0.0003,"",-10593.0,-100.0,soldall,0.0000000,Q1 2020,FINANCE,"","",2.19
Cheesecake factory  inc. (the),CAKE,"",0.0,0.0,,0.0027,"",-12282.0,-100.0,soldall,0.0000000,Q1 2020,CONSUMER DISCRETIONARY,"","",17.08
Hibbett sports  inc.,HIBB,"",0.0,0.0,,0.0016,"",-11278.0,-100.0,soldall,0.0000000,Q1 2020,CONSUMER DISCRETIONARY,"","",10.94
Bjs wholesale club holdings inc,BJ,"",0.0,0.0,,0.0064,"",-19813.0,-100.0,soldall,0.0000000,Q4 2019,CONSUMER DISCRETIONARY,"","",22.74
Sherwin-williams co.,SHW,"",0.0,0.0,,0.0083,"",-4260.0,-100.0,soldall,0.0000000,Q1 2020,MATERIALS,"","",459.52
Shoe carnival inc,SCVL,"",0.0,0.0,,0.0045,"",-34606.0,-100.0,soldall,0.0000000,Q2 2018,CONSUMER DISCRETIONARY,"","",20.77
Frontier communications corp. (citizens utilities - citizens communications),FTRCQ1,"",0.0,0.0,,0.0041,"",-848516.0,-100.0,soldall,0.0000000,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,"","",0.38
El pollo loco holdings inc,LOCO,"",0.0,0.0,,0.0033,"",-30599.0,-100.0,soldall,0.0000000,Q4 2019,CONSUMER DISCRETIONARY,"","",15.14
Freshpet inc,FRPT,"",0.0,0.0,,0.0111,"",-13681.0,-100.0,soldall,0.0000000,Q1 2019,CONSUMER DISCRETIONARY,"","",55.41
Conagra brands inc,CAG,"",0.0,0.0,,0.0037,"",-10013.0,-100.0,soldall,0.0000000,Q2 2019,CONSUMER STAPLES,"","",34.24
Dollar general corp.,DG,"",0.0,0.0,,0.0082,"",-4304.0,-100.0,soldall,0.0000000,Q1 2019,CONSUMER DISCRETIONARY,"","",154.68
Reynolds consumer products inc.,REYN,"",0.0,0.0,,0.0055,"",-14862.0,-100.0,soldall,0.0000000,Q1 2020,CONSUMER STAPLES,"","",29.17
Edgewell personal care company,EPC,"",0.0,0.0,,0.0071,"",-23182.0,-100.0,soldall,0.0000000,Q1 2020,INDUSTRIALS,"","",24.08
Weis markets inc,WMK,"",0.0,0.0,,0.0038,"",-7178.0,-100.0,soldall,0.0000000,Q4 2018,CONSUMER STAPLES,"","",38.92
United airlines holdings inc,UAL,"",0.0,0.0,,0.0052,"",-12909.0,-100.0,soldall,0.0000000,Q4 2019,TRANSPORTS,"","",65.82
Conns inc,CONN,"",0.0,0.0,,0.0021,"",-40328.0,-100.0,soldall,0.0000000,Q4 2019,CONSUMER DISCRETIONARY,"","",12.39
Turning point brands inc,TPB,"",0.0,0.0,,0.0029,"",-10904.0,-100.0,soldall,0.0000000,Q2 2019,CONSUMER STAPLES,"","",32.31
