Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Li auto inc. ads,LI,"",350000.0,8750000.0,0.0201,0.0259,98,0.0,0.0,,0.0481604,Q3 2020,CONSUMER DISCRETIONARY,"","",17.39
Provident acquisition corp.,PAQCU,"",800000.0,8128000.0,0.0187,,99,800000.0,,new,4.0000000,Q1 2021,FINANCE,"","",10.16
Svf investment corp 2,SVFB,"",775000.0,7828000.0,0.018,,100,775000.0,,new,No Data,Q1 2021, ,"","",10.1
Xp inc.,XP,"",200000.0,7534000.0,0.0173,0.0203,101,0.0,0.0,,0.0575303,Q4 2019,FINANCE,"","",38.52
Zoominfo technologies inc.,ZI,"",150000.0,7335000.0,0.0169,0.0185,102,0.0,0.0,,0.1477038,Q2 2020,COMMUNICATIONS,"","",51.03
Vertex  inc.,VERX,"",325000.0,7144000.0,0.0164,0.029,103,0.0,0.0,,1.2344534,Q3 2020,INFORMATION TECHNOLOGY,"","",23.0
Huya inc,HUYA,"",362000.0,7052000.0,0.0162,0.0185,104,0.0,0.0,,0.4364591,Q2 2018,INFORMATION TECHNOLOGY,"","",32.89
American well corp.,AMWL,"",400000.0,6948000.0,0.016,0.026,105,0.0,0.0,,0.2001084,Q3 2020,HEALTH CARE,"","",29.64
Pagerduty inc,PD,"",150000.0,6035000.0,0.0139,0.016,106,0.0,0.0,,0.1805969,Q2 2019,INFORMATION TECHNOLOGY,"","",47.05
Dropbox inc,DBX,"",200000.0,5332000.0,0.0123,0.0114,107,0.0,0.0,,0.0603719,Q1 2018,INFORMATION TECHNOLOGY,"","",31.25
Douyu international holdings ltd,DOYU,"",400000.0,4164000.0,0.0096,0.0113,108,0.0,0.0,,0.1259924,Q3 2019,INFORMATION TECHNOLOGY,"","",8.19
Solarwinds corp,SWI,"",189600.0,3488000.0,0.008,0.0077,109,0.0,0.0,,0.0633665,Q4 2018,INFORMATION TECHNOLOGY,"","",13.83
17 education & technology group inc. ads,YQ,"",120000.0,3427000.0,0.0079,0.0158,110,0.0,0.0,,0.2847064,Q4 2020,INFORMATION TECHNOLOGY,"","",12.81
Outset medical  inc.,OM,"",55000.0,2991000.0,0.0069,0.008,111,0.0,0.0,,0.1284873,Q3 2020,INFORMATION TECHNOLOGY,"","",50.0
Redfin corp,RDFN,"",40087.0,2669000.0,0.0061,0.007,112,0.0,0.0,,0.0391689,Q3 2017,REAL ESTATE,"","",25.09
Health catalyst inc,HCAT,"",50000.0,2339000.0,0.0054,0.0056,113,0.0,0.0,,0.1135269,Q3 2019,INFORMATION TECHNOLOGY,"","",31.64
Medallia inc,MDLA1,"",50000.0,1395000.0,0.0032,0.0043,114,0.0,0.0,,0.0321644,Q3 2019,INFORMATION TECHNOLOGY,"","",27.43
Dada nexus ltd. ads,DADA,"",50000.0,1357000.0,0.0031,0.0047,115,0.0,0.0,,0.0212438,Q2 2020,COMMUNICATIONS,"","",22.3
Oak street health  inc.,OSH,"",25000.0,1357000.0,0.0031,0.0039,116,0.0,0.0,,0.0103843,Q3 2020,INFORMATION TECHNOLOGY,"","",53.44
Onesmart international education group ltd,ONE,"",320000.0,742000.0,0.0017,0.0031,117,0.0,0.0,,0.3077104,Q1 2018,CONSUMER DISCRETIONARY,"","",10.75
Farmland partners inc,FPI,"",44502.0,499000.0,0.0011,0.001,118,0.0,0.0,,0.1442996,Q1 2017,REAL ESTATE,"","",11.17
Kingsoft cloud holdings limited adr,KC,"",10000.0,393000.0,0.0009,0.0011,119,0.0,0.0,,0.0045868,Q2 2020,INFORMATION TECHNOLOGY,"","",31.52
Semrush holdings inc,SEMR,"",10000.0,119000.0,0.0003,,120,10000.0,,new,0.0074129,Q1 2021,INFORMATION TECHNOLOGY,"","",11.91
Yalla group ltd ads,YALA,"",0.0,0.0,,0.0129,"",-350000.0,-100.0,soldall,0.0000000,Q3 2020,INFORMATION TECHNOLOGY,"","",7.0
Gsx techedu inc,GOTU,"",0.0,0.0,,0.4002,"",-3020769.0,-100.0,soldall,0.0000000,Q3 2020,INFORMATION TECHNOLOGY,"","",90.11
